Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
04-05-2017,29-06-2018,Sedition,Rahul Chaturvedi,Allahabad,Section 124A,3,421,6,
08-04-2018,05-06-2019,Robbery,Rajnesh Oswal,Jammu & Kashmir and Ladakh,Section 390,4,423,10,
22-08-2018,15-01-2019,"Fine levied within six years, or during imprisonment- Death not to discharge property from liability",Kanchireddy Suresh Reddy,Andhra Pradesh,Section 70,2,146,6,
25-04-2017,06-06-2018,Negligent act likely to spread infection of disease dangerous to life,M. Sundar,Madras,Section 269,3,407,6,
01-08-2017,12-09-2018,Import or export of counterfeit coin,C. V. Karthikeyan,Madras,Section 237,2,407,8,
31-01-2017,23-08-2017,Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof,PuthenVeedu Gopala Pillai Ajithkumar,Kerala,Section 243,2,204,1,
19-11-2017,28-03-2018,Keeping lottery office,Siddharth,Allahabad,Section 294A,3,129,3,
15-08-2018,26-03-2019,Owner or occupier of land on which an unlawful assembly is held,Pankaj Bhatia,Allahabad,Section 154,5,223,9,
14-09-2017,04-01-2019,Intentional omission to apprehend on the part of public servant bound to apprehend,Jyoti Mulimani,Karnataka,Section 221,1,477,8,
16-03-2018,04-06-2018,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation",Ravi Venkappa Hosmani,Karnataka,Section 355,2,80,4,
02-12-2018,18-01-2020,"Delivery of Indian coin, possessed with knowledge that it is altered",Biswanath Rath,Orissa,Section 251,2,412,10,
17-09-2019,13-07-2020,Breach of contract to serve at distant place to which servant is conveyed at master’s expense,Ravindra Maithani,Uttarakhand,Section 492,1,300,9,
07-05-2018,24-12-2018,Kidnapping from India,Pritinker Diwaker,Allahabad,Section 360,4,231,9,
31-10-2017,05-03-2019,Dishonest or fraudulent removal or concealment of property,Hitesh Kumar Sarma,Gauhati,Section 424,5,490,9,
20-07-2019,19-05-2020,Imprisonment for non-payment of fine when offence punishable with fine only,Gautam Chourdiya,Chhattisgarh,Section 67,3,304,16,
14-05-2018,03-05-2019,Being member of unlawful assembly,Parthivjyoti Saikia,Gauhati,Section 142,5,354,8,
13-11-2019,10-03-2020,Voluntarily causing hurt in committing robbery,S. M. Subramaniam,Madras,Section 394,1,118,8,
11-05-2019,17-04-2020,Solitary confinement,T. Raja,Madras,Section 73,3,342,8,
14-11-2017,24-01-2019,Grievous hurt caused whilst committing lurking house trespass or house-breaking,Gopinath Puzhankara,Kerala,Section 459,5,436,5,
05-02-2017,22-12-2017,Refusing oath or affirmation when duly required by public servant to make it,R. Tharani,Madras,Section 178,1,320,6,
28-11-2018,09-01-2019,Having possession of instrument or material for counterfeiting Government stamp,Atul Sreedharan,Madhya Pradesh,Section 256,1,42,5,
28-06-2019,14-02-2020,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse,Sundaram Srimathy,Madras,Section 151,4,231,14,
26-03-2019,31-07-2020,Transportation instead of imprisonment,Javed Iqbal Wani,Jammu & Kashmir and Ladakh,Section 59,4,493,16,
06-06-2019,14-08-2020,Making or selling false weight or measure,Hemant Maheshchandra Prachchhak,Gujarat,Section 267,2,435,16,
23-04-2017,20-03-2018,Criminal intimidation,Shriram Madhusudan Modak,Bombay,Section 503,4,331,2,
18-07-2019,29-01-2020,"Voluntarily causing hurt to extort confession, or to compel restoration of property",Satish Chandra Sharma (CJ),Telangana,Section 330,1,195,15,
20-10-2017,06-12-2017,Dishonest misappropriation of property possessed by deceased person at the time of his death,Manash Ranjan Pathak,Gauhati,Section 404,5,47,1,
17-02-2017,30-06-2017,Personating a public servant,Noonsavath Tukaramji,Telangana,Section 170,4,133,1,
26-03-2019,04-08-2019,Forgery,Vishwas Kashinathrao Jadhav,Bombay,Section463,3,131,7,
21-08-2017,14-11-2018,Punishment,Devendra Kumar Upadhyay,Allahabad,Section 143,3,450,10,
14-11-2017,06-05-2018,Punishment for assault or criminal force otherwise than on grave provocation,Abdul Quddhose,Madras,Section 352,3,173,7,
19-02-2019,30-05-2020,Using a false trade mark,Revati Prashant Mohite Dere,Bombay,Section 480,5,466,9,
15-10-2018,14-08-2019,Punishment for kidnapping,Biraja Prasanna Satapathy,Orissa,Section 363,3,303,13,
15-10-2018,19-10-2019,Attempt to murder,Mudalikulam Raman Anitha,Kerala,Section 307,2,369,9,
23-06-2019,12-10-2019,Limit of punishment of offence made up of several offences,Manoj Kumar Garg,Rajasthan,Section 71,1,111,12,
05-04-2019,26-06-2020,Mischief,Jayant Banerji,Allahabad,Section 425,4,448,11,
30-11-2019,09-06-2020,Negligent conduct with respect to poisonous substance,Songkhupchung Serto,Gauhati,Section 284,5,192,13,
03-01-2017,06-02-2018,Mischief,Chandrakant Vasant Bhadang,Bombay,Section 425,4,399,4,
14-09-2017,05-01-2019,"Collecting arms, etc, with intention of waging war against the Government of India",Gautam Chowdhary,Allahabad,Section 122,2,478,10,
17-02-2019,31-07-2019,Using Government stamp known to have been before used,Bipinkumar Navalchandbhai Karia,Gujarat,Section 262,5,164,12,
08-09-2018,23-11-2018,Kidnapping from lawful guardianship,Sathish Ninan,Kerala,Section 361,3,76,4,
22-01-2020,30-11-2020,Punishment for robbery,Sandeep Kumar,Patna,Section 392,1,313,18,
31-07-2017,11-01-2018,"Punishment for knowingly carrying arms in any procession or organising, or holding or taking part in any mass drill or mass training with arms",Manoj Kumar Ohri,Delhi,Section153AA,1,164,2,
25-01-2018,28-04-2018,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",Girish Agnihotri,Punjab and Haryana,Section 133,2,93,3,
01-11-2017,03-01-2018,Threat of injury to public servant,Virender Singh,Madhya Pradesh,Section 189,2,63,3,
18-08-2019,16-10-2020,Import or export of counterfeit coin,Gita Gopi,Gujarat,Section 237,4,425,12,
11-02-2017,20-11-2017,Voluntarily causing hurt to deter public servant from his duty,Arun Dev Choudhury,Gauhati,Section 332,3,282,2,
28-01-2020,17-04-2020,Intercourse by a man with his wife during separation,Anjuli Palo,Madhya Pradesh,Section 376A,5,80,14,
31-03-2020,11-12-2020,Statements conducing to public mischief,R. Pongiappan,Madras,Section 505,1,255,19,
11-08-2017,10-12-2017,Habitual dealing in slaves,Bhargav Dhirenbhai Karia,Gujarat,Section 371,1,121,1,
08-05-2019,27-05-2020,Punishment of abetment if person abetted does act with different intention from that of abettor,Sanjeev Sachdeva,Delhi,Section 110,1,385,19,
17-09-2017,16-11-2018,"Voluntarily causing hurt to extort confession, or to compel restoration of property",Yashwant Varma,Delhi,Section 330,2,425,3,
14-02-2020,22-10-2020,"Assaulting President, Governor, etc, with intent to compel or restrain the exercise of any lawful power",Sanjeev Prakash Sharma,Patna,Section 124,2,251,14,
05-03-2020,09-02-2021,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed,Bawa Singh Walia,Punjab and Haryana,Section 222,5,341,11,
10-09-2019,24-01-2020,Concealing design to commit offence punishable with imprisonment,Ritu Bahri,Punjab and Haryana,Section 120,5,136,7,
08-07-2017,11-02-2018,"Definition of “harbour” in sections 212, 216 and 216A",Ananta Manohar Badar,Patna,Section 216B,2,218,3,
22-11-2019,14-10-2020,Breach of contract to attend on and supply wants of helpless person,Nitin Bhagawantrao Suryawanshi,Bombay,Section 491,1,327,13,
30-10-2017,13-12-2018,Possession of Indian coin by person who knew it to be altered when he became possessed thereof,Muhamed Mustaque Ayumantakath,Kerala,Section 253,5,409,7,
23-03-2019,08-03-2020,"Act done in good faith for benefit of child or insane person, by or by consent of guardian",Parth Prateem Sahu,Chhattisgarh,Section 89,5,351,12,
22-10-2017,28-08-2018,Enticing or taking away or detaining with criminal intent a married woman,Gurpal Singh Ahluwalia,Madhya Pradesh,Section 498,2,310,4,
15-07-2019,07-09-2019,Lurking house trespass or house-breaking by night in order to commit offence punishable with imprisonment,Abhijit Gangopadhyay,Calcutta,Section 457,4,54,9,
17-10-2019,09-09-2020,"Delivery of Indian coin, possessed with knowledge that it is altered",Hanchate Sanjeev Kumar,Karnataka,Section 251,2,328,16,
02-02-2020,14-01-2021,Act of a child above seven and under twelve of immature understanding,Suresh Kumar Kait,Delhi,Section 83,1,347,10,
03-03-2019,25-03-2019,Punishment for public nuisance in cases not otherwise provided for,Bibhas Ranjan De,Calcutta,Section 290,4,22,8,
02-01-2018,12-02-2019,Punishment for forgery,Karunesh Singh Pawar,Allahabad,Section 465,1,406,13,
12-06-2017,10-08-2017,Obstructing public servant in discharge of public functions,Sreenivas Harish Kumar,Karnataka,Section 186,3,59,1,
09-12-2019,08-02-2021,Obscene acts and songs,Shivanna Sujatha,Karnataka,Section 294,5,427,14,
13-07-2018,13-09-2018,Assault or criminal force in attempt to commit theft of property carried by a person,C. V. Karthikeyan,Madras,Section 356,1,62,9,
05-01-2017,30-06-2017,When such right extends to causing any harm other than death,Shriram Kalpathi Rajendran,Bombay,Section 104,3,176,1,
05-04-2020,26-01-2021,Amount of fine,Ananda Sen,Jharkhand,Section 63,2,296,16,
28-02-2020,08-06-2021,Abetting commission of offence by the public or by more than ten persons,Chagari Praveen Kumar,Andhra Pradesh,Section 117,2,466,21,
15-10-2018,20-08-2019,Counterfeiting a property mark used by another,Rameshwar Vyas,Rajasthan,Section 483,5,309,8,
17-04-2018,12-05-2019,"Assaulting or obstructing public servant when suppressing riot, etc",Jyotsna Rewal Dua,Himachal Pradesh,Section 152,1,390,8,
07-06-2018,17-04-2019,Abetting in India the counterfeiting out of India of coin,Sathi Kumar Sukumara Kurup,Madras,Section 236,5,314,14,
29-07-2019,29-02-2020,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof,Manish Choudhury,Gauhati,Section 242,2,215,9,
16-05-2019,17-02-2020,Making or selling instrument for counterfeiting Government stamp,Parthivjyoti Saikia,Gauhati,Section 257,5,277,12,
29-11-2019,16-03-2021,Punishment for belonging to gang of dacoits,Pankaj Bhandari,Rajasthan,Section 400,3,473,15,
01-12-2017,23-03-2019,Causing miscarriage without woman’s consent,Sameer Jain,Rajasthan,Section 313,3,477,10,
01-05-2018,26-07-2019,Refusing to answer public servant authorised to question,Rajiv Singh,Allahabad,Section 179,4,451,7,
29-06-2017,12-07-2018,Punishment for kidnapping,Chagari Praveen Kumar,Andhra Pradesh,Section 363,4,378,5,
27-01-2018,16-03-2019,Wearing garb or carrying token used by public servant with fraudulent intent,Kandasamy Kalyanasundaram,Madras,Section 171,2,413,14,
18-06-2018,23-10-2019,Punishment for making use of any such false mark,Dr. Bidyut Ranjan Sarangi,Orissa,Section 488,5,492,5,
05-03-2017,07-06-2018,Importation of girl from foreign country,Virender Singh,Madhya Pradesh,Section 366B,4,459,9,
03-05-2018,23-05-2019,Negligent conduct with respect to fire or combustible matter,Om Prakash Tripathi,Allahabad,Section 285,1,385,6,
23-01-2018,09-07-2018,Punishment for the mischief described in section 437 committed by fire or explosive substance,M. Sundar,Madras,Section 438,3,167,7,
12-08-2018,26-07-2019,Conspiracy to commit offences punishable by section 121,Girish Sharadchandra Kulkarni,Bombay,Section 121A,5,348,9,
31-12-2019,20-09-2020,Defamation,Satyavrat Verma,Patna,Section 499,3,264,12,
28-06-2018,31-01-2019,"Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint",Manoj Kumar Tiwari,Uttarakhand,Section 458,3,217,9,
10-04-2017,13-12-2017,"Forgery of valuable security, will, etc",Sangeeta Kamalsingh Vishen,Gujarat,Section 467,3,247,4,
06-08-2017,06-10-2017,Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction,Sathi Kumar Sukumara Kurup,Madras,Section 75,1,61,4,
29-04-2019,17-08-2020,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be altered",Rajendra Chandra Singh Samant,Chhattisgarh,Section 254,2,476,12,
19-03-2020,29-12-2020,Construction of reference to transportation,Raja Vijayaraghavan Valsala,Kerala,Section 53A,5,285,9,
04-04-2018,10-01-2019,Criminal intimidation,Naresh Kumar Chandravanshi,Chhattisgarh,Section 503,1,281,7,
09-03-2017,20-12-2017,Fraudulently obtaining decree for sum not due,Fateh Deep Singh,Punjab and Haryana,Section 210,1,286,3,
17-08-2017,01-11-2018,Non-attendance in obedience to an order form public servant,Harish Tandon,Calcutta,Section 174,4,441,5,
08-03-2017,05-12-2017,Fraudulently or dishonestly diminishing weight or altering composition of coin,Shrikant Dattatray Kulkarni,Bombay,Section 246,5,272,3,
04-04-2020,15-01-2021,"Exhibition of false light, mark or buoy",Rajeev Ranjan Prasad,Patna,Section 281,5,286,12,
26-02-2018,05-03-2019,House-trespass in order to commit offence punishable with death,Ponugoti Naveen Rao,Telangana,Section 449,4,372,8,
19-01-2018,31-10-2018,Refusing to sign statement,R. Pongiappan,Madras,Section 180,1,285,7,
18-02-2020,09-07-2020,Punishment for bribery,Rohit Arya,Madhya Pradesh,Section 171E,3,142,14,
01-04-2018,09-05-2018,Waging war against any Asiatic Power in alliance with the Government of India,Manjula Ramaraju Nalliah,Madras,Section 125,3,38,3,
01-01-2020,05-04-2021,Punishment for kidnapping,Ashutosh Srivastava,Allahabad,Section 363,5,460,7,
20-08-2018,06-02-2019,Making or possession of any instrument for counterfeiting a property mark,Rameshwar Vyas,Rajasthan,Section 485,3,170,6,
28-11-2018,29-07-2019,Intentional omission to apprehend on the part of public servant bound to apprehend,R. Hemalatha,Madras,Section 221,5,243,8,
17-01-2020,25-09-2020,Public servant voluntary allowing prisoner of State or war to escape,Bhargav Dhirenbhai Karia,Gujarat,Section 128,1,252,11,
12-12-2019,28-09-2020,Act of a person of unsound mind,V. Bhavani Subbaroyan,Madras,Section 84,3,291,10,
24-05-2017,15-05-2018,Rash driving or riding on a public way,Sandeep Sharma,Himachal Pradesh,Section 279,5,356,5,
30-05-2018,09-07-2019,Wrongful confinement in secret,Rabindranath Samanta,Calcutta,Section 346,4,405,15,
08-04-2017,04-06-2017,Unlawfully taking coining instrument from mint,Milind Narendra Jadhav,Bombay,Section 245,1,57,1,
27-04-2019,06-09-2020,Counterfeiting Indian coin,Harsimran Singh Sethi,Punjab and Haryana,Section 232,5,498,13,
08-04-2017,19-06-2018,Making a false document,Sarasa Venkatanarayana Bhatti,Kerala,Section 464,1,437,7,
21-04-2019,25-08-2019,"Candidate, Electoral right defined",Amrita Sinha,Calcutta,Section 171A,1,126,9,
16-08-2017,17-06-2018,Giving false evidence,Anu Malhotra,Delhi,Section 191,3,305,2,
27-02-2020,03-11-2020,Tampering with property mark with intent to cause injury,Anjuli Palo,Madhya Pradesh,Section 489,3,250,17,
31-08-2017,31-01-2018,Extortion,Rajesh Narayandas Laddha,Bombay,Section 383,3,153,1,
18-08-2019,22-08-2020,House-breaking by night,M. Duraiswamy,Madras,Section 446,5,370,12,
09-06-2017,13-02-2018,Printing or engraving matter known to be defamatory,M. V. Muralidaran,Manipur,Section 501,1,249,4,
02-05-2019,22-05-2020,Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed,Kannakuzhyil Sreedharan Hemalekha,Karnataka,Section 153,2,386,14,
04-01-2019,06-10-2019,Assault or criminal force to woman with intent to outrage her modesty,Irshad Ali,Allahabad,Section 354,1,275,7,
25-12-2018,26-03-2020,Forgery,Brij Raj Singh,Allahabad,Section463,5,457,12,
01-04-2019,16-04-2020,Using Government stamp known to have been before used,Ambuj Nath,Jharkhand,Section 262,5,381,12,
28-08-2019,22-12-2020,Negligent conduct with respect to poisonous substance,Perugu Sree Sudha,Telangana,Section 284,5,482,9,
07-04-2017,01-08-2018,"Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft",Shaji Paul Chaly,Kerala,Section 382,1,481,4,
19-07-2017,09-01-2018,Counterfeiting Government stamp,Ajit Kumar,Allahabad,Section 255,2,174,3,
22-11-2019,25-05-2020,Making or possessing instruments or materials for forgoing or counterfeiting currency-notes or bank-notes,Biswajit Basu,Calcutta,Section 489D,1,185,9,
18-06-2019,27-04-2020,Liability of person for whose benefit riot is committed,J. Sathya Narayana Prasad,Madras,Section 155,1,314,10,
17-03-2019,05-08-2019,Commencement and continuance of the right of private defence of property,Pankaj Bhandari,Rajasthan,Section 105,4,141,9,
07-07-2017,07-09-2017,"Mischief by destroying, moving or rendering less useful a light-house or sea-mark",Anil Kshetarpar,Punjab and Haryana,Section 433,3,62,1,
13-02-2018,18-07-2018,Public servant unlawfully buying or bidding for property,Bibhu Prasad Routray,Orissa,Section 169,5,155,2,
05-05-2019,23-07-2019,Sentence of forfeiture of property,Sudesh Bansal,Rajasthan,Section 61,4,79,8,
27-05-2018,23-08-2019,Punishment of criminal conspiracy,Gurpal Singh Ahluwalia,Madhya Pradesh,Section 120B,5,453,7,
27-04-2018,22-05-2019,Marrying again during lifetime of husband or wife,Saral Srivastava,Allahabad,Section 494,1,390,2,
09-12-2018,24-01-2020,"Selling minor for purposes of prostitution, etc",Rajesh Kumar Verma,Patna,Section 372,1,411,9,
15-01-2017,01-03-2017,Causing grievous hurt by act endangering life or personal safety of others,Yogesh Khanna,Delhi,Section 338,2,45,1,
03-04-2019,28-02-2020,Imprisonment to terminate on payment of fine,Ritu Raj Awasthi (CJ),Karnataka,Section 68,2,331,15,
11-06-2018,08-09-2018,"Public servant disobeying law, with intent to cause injury to any person",Senthilkumar Ramamoorthy,Madras,Section 166,2,89,6,
15-06-2017,19-05-2018,Fraudulently or dishonestly diminishing weight or altering composition of Indian coin,Sunita Agarwal,Allahabad,Section 247,2,338,2,
11-10-2019,30-05-2020,Dishonestly or fraudulently preventing debt being available for creditors,Jyoti Singh,Delhi,Section 422,1,232,11,
29-04-2018,09-04-2019,Unlawful compulsory labour,Sanjay Kumar Pachori,Allahabad,Section 374,4,345,7,
11-01-2017,31-08-2017,Making or selling instrument for counterfeiting Government stamp,Rumi Kumari Phukan,Gauhati,Section 257,1,232,2,
17-04-2017,27-04-2018,Wrongful confinement of person for whose liberation writ has been issued,Arvind Srivastava,Patna,Section 345,4,375,3,
06-06-2017,16-07-2017,Abetment of a thing,Joymalya Bagchi,Calcutta,Section 107,5,40,1,
09-09-2017,20-10-2018,Punishment for murder,Anil Kumar Choudhary,Jharkhand,Section 302,5,406,6,
20-03-2019,21-10-2019,False personation for purpose of act or proceeding in suit or prosecution,Satyendra Kumar Singh,Madhya Pradesh,Section 205,4,215,13,
07-01-2020,13-04-2020,Punishment for undue influence or personation at an election,Ajoy Kumar Mukherjee,Calcutta,Section 171F,5,97,10,
21-01-2018,31-10-2018,Forgery,Dr. Ashutosh Pushkerray Thaker,Gujarat,Section463,4,283,8,
28-03-2017,09-05-2017,Cheating and dishonestly inducing delivery of property,Purnendu Singh,Patna,Section 420,5,42,1,
01-03-2018,03-07-2019,Wrongful confinement for ten or more days,Panzhayanur Narayanan Prakash,Madras,Section 344,4,489,8,
28-02-2020,12-06-2021,Intentional insult with intent to provoke breach of the peace,Dipankar Datta (CJ),Bombay,Section 504,5,470,15,
26-01-2020,25-09-2020,Act of a person incapable of judgment by reason of intoxication caused against his will,Vinod Chatterji Koul,Jammu & Kashmir and Ladakh,Section 85,3,243,17,
11-04-2020,05-10-2020,Obstructing sale of property offered for sale by authority of public servant,Ajoy Kumar Mukherjee,Calcutta,Section 184,4,177,14,
04-07-2018,25-05-2019,"Kidnapping, abducting or inducing woman to compel her marriage, etc",Anil Kumar Menon,Bombay,Section 366,5,325,8,
01-01-2019,16-12-2019,Lurking house-trespass,Archana Puri,Punjab and Haryana,Section 443,5,349,12,
07-08-2018,18-11-2018,Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden,Chandrasekharan Sudha,Kerala,Section 437,2,103,7,
03-12-2019,25-01-2021,Negligent conduct with respect to explosive substance,Vaddiboyana Sujatha,Andhra Pradesh,Section 286,5,419,13,
27-04-2019,07-01-2020,Threatening any person to give false evidence,Arvind Srivastava,Patna,Section 195A,5,255,15,
26-04-2019,11-02-2020,Act done pursuant to the judgment or order of Court,Sugato Majumdar,Calcutta,Section 78,1,291,11,
10-06-2019,30-11-2019,"Using as genuine, forged or counterfeit currency-notes or bank-notes",Ramesh Deokinandan Dhanuka,Bombay,Section 489B,2,173,7,
22-11-2019,30-01-2020,Sentence of Europeans and Americans to penal servitude,Rahul Chaturvedi,Allahabad,Section 56,5,69,11,
11-05-2019,02-02-2020,Forged document or electronic record,Nandita Dubey,Madhya Pradesh,Section 470,1,267,11,
10-05-2017,10-08-2017,Punishment for false evidence,Ali Zamin,Allahabad,Section 193,1,92,4,
07-02-2018,25-10-2018,Personating a public servant,Kalyan Rai Surana,Gauhati,Section 170,4,260,9,
16-12-2017,09-01-2018,"Deliberate and malicious acts, intended to outrage religious feelings or any class by insulting its religion or religious beliefs",Narendra Singh Dhaddha,Rajasthan,Section 295A,5,24,2,
06-07-2018,28-02-2019,Wrongful confinement for three or more days,Sabyasachi Bhattacharyya,Calcutta,Section 343,1,237,9,
14-03-2019,21-08-2019,Punishment for murder by life-convict,Vikas Kunvar Srivastava,Allahabad,Section 303,5,160,13,
20-10-2018,05-02-2020,Acid Attack,Konakanti Sreenivasa Reddy,Andhra Pradesh,Section 326A,1,473,8,
06-10-2018,28-01-2020,Rape,Navneet Kumar,Jharkhand,Section 375,4,479,14,
14-03-2019,05-09-2019,When the right of private defence of property extends to causing death,Anil Kumar Upadhyay,Patna,Section 103,5,175,7,
17-08-2017,04-04-2018,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable",Ponugoti Naveen Rao,Telangana,Section 65,3,230,4,
27-09-2018,02-02-2020,Things done in private defence,Ramakrishna Devdas,Karnataka,Section 96,5,493,18,
25-08-2019,21-12-2020,"Intercourse by superintendent of jail, remand home, etc",Rajan Roy,Allahabad,Section 376C,5,484,15,
16-10-2018,25-07-2019,Concealing design to commit offence punishable with death or imprisonment for life,Shriram Kalpathi Rajendran,Bombay,Section 118,5,282,8,
07-10-2019,26-11-2020,Negligent conduct with respect to poisonous substance,Ponugoti Naveen Rao,Telangana,Section 284,5,416,14,
16-02-2018,28-04-2019,Receiving Property taken by war on depredation mention in Sections 125 and 126,Siddharth,Allahabad,Section 127,4,436,6,
13-09-2017,02-09-2018,"Causing disappearance of evidence of offence, or giving false information to screen offender",Aniruddha Roy,Calcutta,Section 201,2,354,4,
04-08-2018,16-10-2019,Counterfeiting a property mark used by another,Hemant Maheshchandra Prachchhak,Gujarat,Section 483,4,438,11,
19-11-2017,29-04-2018,Things done in private defence,Dr Yogendra Kumar Srivastava,Allahabad,Section 96,4,161,6,
01-05-2019,05-12-2019,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc",Ravi Venkappa Hosmani,Karnataka,Section 367,2,218,16,
13-04-2017,28-09-2017,All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them,V. Bhavani Subbaroyan,Madras,Section 460,1,168,1,
30-03-2019,14-04-2020,Grievous hurt caused whilst committing lurking house trespass or house-breaking,Govindarajulu Chandrasekharan,Madras,Section 459,3,381,7,
12-08-2019,11-01-2020,Every member of unlawful assembly guilty of offence committed in prosecution of common object,Manjari Nehru Kaul,Punjab and Haryana,Section 149,2,152,13,
26-02-2017,20-11-2017,Construction of reference to transportation,Siddaiah Rachaiah,Karnataka,Section 53A,2,267,1,
28-03-2017,09-10-2017,"Putting person in fear of accusation of offence, in order to commit extortion",Saurabh Lavania,Allahabad,Section 389,3,195,1,
24-04-2017,30-01-2018,Fraudulently or dishonestly diminishing weight or altering composition of Indian coin,Rashmin Manharbhai Chhaya,Gujarat,Section 247,4,281,2,
26-12-2019,04-11-2020,Construction of reference to transportation,Amar Nath (Kesharwani),Madhya Pradesh,Section 53A,4,314,11,
30-10-2018,13-05-2019,Dacoity,Vishal Dhagat,Madhya Pradesh,Section 391,5,195,8,
16-02-2019,30-05-2020,Grievous hurt,Sachin Shankar Magadum,Karnataka,Section 320,2,469,15,
03-11-2018,17-12-2018,"Fine levied within six years, or during imprisonment- Death not to discharge property from liability",Deepak Kumar Agarwal,Madhya Pradesh,Section 70,2,44,4,
17-07-2018,26-02-2019,Furnishing false information,Vibha Vasant Kankanwadi,Bombay,Section 177,4,224,6,
08-12-2018,20-02-2019,Punishment for house-trespass,Vijay Bishnoi,Rajasthan,Section 448,2,74,6,
04-12-2017,24-08-2018,Defamation,Adavalli Rajasheker Reddy,Telangana,Section 499,1,263,6,
31-03-2017,06-02-2018,Persons subject to certain Acts,Anoop Kumar Mendiratta,Delhi,Section 139,4,312,1,
19-01-2018,22-09-2018,Voluntarily causing hurt by dangerous weapons or means,Ashutosh Kumar,Patna,Section 324,2,246,5,
15-07-2018,04-07-2019,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",Revati Prashant Mohite Dere,Bombay,Section 331,3,354,4,
31-08-2018,26-09-2018,Sale of adulterated drugs,Satyendra Kumar Singh,Madhya Pradesh,Section 275,4,26,9,
03-10-2018,11-02-2020,"Fraudulent cancellation, destruction, etc, of will, authority to adopt, or valuable security",Ashok Kumar Gaur,Rajasthan,Section 477,4,496,12,
17-07-2019,02-09-2019,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",V. Parthiban,Madras,Section 133,4,47,7,
10-02-2017,03-12-2017,Lurking house trespass or house-breaking by night in order to commit offence punishable with imprisonment,R. Pongiappan,Madras,Section 457,4,296,2,
25-12-2018,15-01-2020,Public servant unlawfully engaging in trade,Sunil Kumar Panwar,Patna,Section 168,5,386,5,
13-03-2018,05-07-2018,Counterfeiting Indian coin,Ninala Jayasurya,Andhra Pradesh,Section 232,2,114,4,
23-09-2018,17-06-2019,House-trespass in order to commit offence punishable with death,Sudhir Kumar Jain,Delhi,Section 449,1,267,14,
22-10-2018,18-02-2020,Injuring or defiling place of worship with intent to insult the religion of any class,Bipinkumar Navalchandbhai Karia,Gujarat,Section 295,3,484,17,
09-02-2020,02-07-2020,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed,Prateek Jalan,Delhi,Section 222,5,144,9,
17-10-2017,17-12-2017,Public servant voluntary allowing prisoner of State or war to escape,Manthoj Ganga Rao,Andhra Pradesh,Section 128,2,61,3,
04-10-2018,08-09-2019,Harbouring deserter,Piyush Agrawal,Allahabad,Section 136,2,339,8,
01-04-2019,04-05-2020,Marrying again during lifetime of husband or wife,Hanchate Sanjeev Kumar,Karnataka,Section 494,5,399,14,
01-01-2020,08-10-2020,"Intercourse by superintendent of jail, remand home, etc",Anuja Prabhu Dessai,Bombay,Section 376C,5,281,10,
07-02-2017,09-12-2017,Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,Sujit Narayan Prasad,Jharkhand,Section 113,1,305,2,
22-11-2018,10-08-2019,Habitual dealing in slaves,A. D. Jagadish Chandira,Madras,Section 371,5,261,9,
04-07-2018,24-08-2018,Mischief,Karamjit Singh,Punjab and Haryana,Section 425,1,51,5,
13-10-2018,16-02-2020,Punishment for lurking house-trespass or house-breaking by night,Engalaguppe Seetharamaiah Indiresh,Karnataka,Section 456,5,491,8,
15-02-2020,19-04-2020,Harbouring offender,Hemant Chandangoudar,Karnataka,Section 212,3,64,9,
06-12-2017,02-02-2019,Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment,Rajeev Kumar Shrivastava,Madhya Pradesh,Section 454,1,423,10,
14-05-2018,19-12-2018,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment,Sanjay V. Gangapurwala,Bombay,Section511,3,219,8,
11-02-2019,21-01-2020,Mischief by killing or maiming animal of the value of ten rupees,Manoj Kumar Tiwari,Uttarakhand,Section 428,3,344,13,
22-02-2019,23-09-2019,Counterfeiting a property mark used by another,Sunil Thomas,Kerala,Section 483,2,213,4,
29-02-2020,05-10-2020,Intercourse by a man with his wife during separation,Suraj Govindaraj,Karnataka,Section 376A,4,219,15,
